OBJECTID,APN,HOUSE,STREET_NAME,STREET_TYPE,ASSESSMENT,RESOURCE_NAME,ORDINANCE,Shape__Area,Shape__Length
3417,00301850200000,621,23RD,ST,Landmark,,3911,3420.952148,251.0491923
3418,00301850270000,627,23RD,ST,Landmark,,3911,3443.692383,246.8231439
3419,00801340160000,1112,40TH,ST,Landmark,,2025-0013,7101.910156,386.3873805
3420,,,SAN FRANCISCO,BLVD,Landmark,San Francisco Boulevard,2025-0012,183483.0664,3880.79687
3421,03500340160000,5850,FREEPORT,BLVD,Landmark,LAND PARK BOWL,2025-0018,110688.4072,1368.518303
3422,01003550140000,2685,26TH,ST,Landmark,Lewis Nelson Crawford House,2025-0026,4874.146484,279.4059163
3423,01003810190000,3555,3RD,AVE,Landmark,Negro Women's Civic Improvements Club,2025-0026,12149.93945,463.9525748
3424,01003850120000,3639,4TH,AVE,Landmark,Oak Park School of Afro-American Thought,2025-0026,6348.581055,392.4473395
3425,01401630570000,4322,4TH,AVE,Landmark,Dunlap's Dining Room,2025-0026,10447.2334,482.8701015
3426,02000430080000,3948,33RD,ST,Landmark,Harrison Crump Residence,2025-0026,4191.204102,320.3325261
3427,02201030240000,4991,WARWICK,AVE,Landmark,Anthony Francis Residence,2025-0026,7427.71582,384.7727939
3428,01401910460000,4200,BROADWAY, ,Landmark,Morgan-Jones Funeral Home,2025-0026,12856.81738,447.8709848
3429,02402970020000,6390,S LAND PARK,DR,Landmark,Leon Residence,2025-0026,10298.16797,414.0549852
3430,00901310150000,2014,10TH,ST,Landmark,Dr. Arthur R. Trent's Dentist Office,2025-0026,4898.833008,327.8007911
3431,01800310030000,4214-4216,LOTUS,AVE,Landmark,The Canson House,2025-0026,12854.37988,475.5439008
3736,01002160080000,2404,21ST,ST,Landmark,Canson Law Office and NAACP Credit Union,2025-0026,3306.185547,241.9578583
3737,01002410290000,2710,X,ST,Landmark,Crossraods Building,2025-0026,6600.517578,406.4501975
